decision_time,fund_code,fund_name,base_target_position,estimate_used_for_decision,estimate_reason,eastmoney_fundgz_time,eastmoney_fundgz_change_pct,eastmoney_fundgz_source,eastmoney_fundgz_error,etf_code,etf_name,etf_price_1430,etf_change_pct_1430,etf_iopv,etf_iopv_note,sector_breadth_positive_count,sector_breadth_sample_size,sector_breadth_ratio
2026-06-17 14:30:00,007817,国泰中证全指通信设备ETF联接A,0.54,False,fundgz 最新时间为 `15:00`，晚于 `14:30` 决策点，估值不参与判断。,2026-06-17 15:00:00,1.48,eastmoney_fundgz,,515880,通信ETF国泰,1.731,0.11567379988433046,,AKShare IOPV 不可用：No module named 'akshare',3,4,0.75
2026-06-17 14:30:00,008887,华夏国证半导体芯片ETF联接A,0.1799999999999999,False,fundgz 最新时间为 `15:00`，晚于 `14:30` 决策点，估值不参与判断。,2026-06-17 15:00:00,6.04,eastmoney_fundgz,,159995,芯片ETF华夏,2.664,5.047318611987395,,AKShare IOPV 不可用：No module named 'akshare',4,4,1.0
2026-06-17 14:30:00,008585,华夏中证人工智能主题ETF联接A,0.1799999999999999,False,fundgz 最新时间为 `15:00`，晚于 `14:30` 决策点，估值不参与判断。,2026-06-17 15:00:00,2.57,eastmoney_fundgz,,515070,人工智能ETF华夏,2.514,1.3709677419354804,,AKShare IOPV 不可用：No module named 'akshare',4,4,1.0
