抓取时间,行情源,基金代码,估算状态,报告期,持仓数量,匹配行情数量,披露持仓覆盖净值比例,匹配行情覆盖净值比例,估算当日涨跌幅,可信阈值,是否可信,置信度,估算说明,失败原因
2026-06-20 04:14:11,新浪 stock_zh_a_spot,006503,成功,2026Q1,10,10,86.25999999999999,86.25999999999999,1.5906483999999996,70.0,是,高,仅基于已披露股票持仓；匹配行情覆盖净值比例低于可信阈值时，方向和幅度都不作为交易依据。,
2026-06-20 04:14:11,新浪 stock_zh_a_spot,024481,成功,2026Q1,10,10,85.52,85.52,1.6868169999999998,70.0,是,高,仅基于已披露股票持仓；匹配行情覆盖净值比例低于可信阈值时，方向和幅度都不作为交易依据。,
2026-06-20 04:14:11,新浪 stock_zh_a_spot,021523,成功,2026Q1,10,10,79.39999999999999,79.39999999999999,1.6200423,70.0,是,高,仅基于已披露股票持仓；匹配行情覆盖净值比例低于可信阈值时，方向和幅度都不作为交易依据。,
2026-06-20 04:14:11,新浪 stock_zh_a_spot,021528,成功,2026Q1,10,10,87.84,87.84,1.7196586000000003,70.0,是,高,仅基于已披露股票持仓；匹配行情覆盖净值比例低于可信阈值时，方向和幅度都不作为交易依据。,
