date,close,source
2026-05-15,508.52,https://www.investing.com/etfs/ishares-phlx-sox-semiconductor-historical-data
2026-05-18,495.87,https://www.investing.com/etfs/ishares-phlx-sox-semiconductor-historical-data
2026-05-19,496.74,https://www.investing.com/etfs/ishares-phlx-sox-semiconductor-historical-data
2026-05-20,520.31,https://www.investing.com/etfs/ishares-phlx-sox-semiconductor-historical-data
2026-05-21,524.71,https://www.investing.com/etfs/ishares-phlx-sox-semiconductor-historical-data
2026-05-22,537.33,https://www.investing.com/etfs/ishares-phlx-sox-semiconductor-historical-data
2026-05-26,570.09,https://www.investing.com/etfs/ishares-phlx-sox-semiconductor-historical-data
2026-05-27,563.98,https://www.investing.com/etfs/ishares-phlx-sox-semiconductor-historical-data
2026-05-28,569.47,https://www.investing.com/etfs/ishares-phlx-sox-semiconductor-historical-data
2026-05-29,569.08,https://www.investing.com/etfs/ishares-phlx-sox-semiconductor-historical-data
2026-06-01,571.93,https://www.investing.com/etfs/ishares-phlx-sox-semiconductor-historical-data
2026-06-02,605.02,https://www.investing.com/etfs/ishares-phlx-sox-semiconductor-historical-data
2026-06-03,615.68,https://www.investing.com/etfs/ishares-phlx-sox-semiconductor-historical-data
2026-06-04,602.72,https://www.investing.com/etfs/ishares-phlx-sox-semiconductor-historical-data
2026-06-05,539.77,https://www.investing.com/etfs/ishares-phlx-sox-semiconductor-historical-data
2026-06-08,571.45,https://www.investing.com/etfs/ishares-phlx-sox-semiconductor-historical-data
2026-06-09,562.14,https://www.investing.com/etfs/ishares-phlx-sox-semiconductor-historical-data
2026-06-10,541.51,https://www.investing.com/etfs/ishares-phlx-sox-semiconductor-historical-data
2026-06-11,586.93,https://www.investing.com/etfs/ishares-phlx-sox-semiconductor-historical-data
2026-06-12,596.25,https://www.investing.com/etfs/ishares-phlx-sox-semiconductor-historical-data
