fund_code,report_date,scale_billion_cny,holder_count,institution_ratio,quarterly_share_growth,source_note
007817,2026-03-31,0.952,,,,Eastmoney F10 scale; holder data unavailable
008887,2026-03-31,3.456,,,,Eastmoney F10 scale; holder data unavailable
008585,2026-03-31,2.374,,,,Eastmoney F10 scale; holder data unavailable
