date,close
2025-10-31,1.0
2025-11-06,1.0061
2025-11-07,0.9946
2025-11-10,0.9793
2025-11-11,0.9649
2025-11-12,0.9659
2025-11-13,0.9712
2025-11-14,0.9516
2025-11-17,0.9515
2025-11-18,0.9479
2025-11-19,0.9488
2025-11-20,0.9484
2025-11-21,0.8881
2025-11-24,0.8737
2025-11-25,0.9136
2025-11-26,0.9591
2025-11-27,0.9478
2025-11-28,0.9395
2025-12-01,0.9511
2025-12-02,0.9498
2025-12-03,0.9482
2025-12-04,0.9505
2025-12-05,0.9543
2025-12-08,1.0053
2025-12-09,1.0591
2025-12-10,1.053
2025-12-11,1.0283
2025-12-12,1.0426
2025-12-15,1.0066
2025-12-16,0.9954
2025-12-17,1.0582
2025-12-18,1.0131
2025-12-19,0.9971
2025-12-22,1.0476
2025-12-23,1.07
2025-12-24,1.0861
2025-12-25,1.0859
2025-12-26,1.0728
2025-12-29,1.089
2025-12-30,1.0632
2025-12-31,1.0361
2026-01-05,1.0659
2026-01-06,1.0533
2026-01-07,1.0676
2026-01-08,1.0462
2026-01-09,1.0409
2026-01-12,1.0295
2026-01-13,1.0041
2026-01-14,1.0418
2026-01-15,1.0688
2026-01-16,1.0727
2026-01-19,1.0546
2026-01-20,1.0138
2026-01-21,1.0463
2026-01-22,1.1012
2026-01-23,1.0504
2026-01-26,1.0633
2026-01-27,1.091
2026-01-28,1.0871
2026-01-29,1.0506
2026-01-30,1.079
2026-02-02,1.0615
2026-02-03,1.0718
2026-02-04,1.0544
2026-02-05,1.0312
2026-02-06,1.0121
2026-02-09,1.058
2026-02-10,1.0603
2026-02-11,1.0377
2026-02-12,1.0465
2026-02-13,1.0253
2026-02-24,1.0643
2026-02-25,1.0989
2026-02-26,1.1325
2026-02-27,1.0764
2026-03-02,1.0945
2026-03-03,1.072
2026-03-04,1.0603
2026-03-05,1.0695
2026-03-06,1.0604
2026-03-09,1.0259
2026-03-10,1.0821
2026-03-11,1.0764
2026-03-12,1.0543
2026-03-13,1.0672
2026-03-16,1.0996
2026-03-17,1.0546
2026-03-18,1.1012
2026-03-19,1.0882
2026-03-20,1.1314
2026-03-23,1.0729
2026-03-24,1.1112
2026-03-25,1.1397
2026-03-26,1.116
2026-03-27,1.1128
2026-03-30,1.1298
2026-03-31,1.0991
2026-04-01,1.1313
2026-04-02,1.1005
2026-04-03,1.1337
2026-04-07,1.1304
2026-04-08,1.2273
2026-04-09,1.2405
2026-04-10,1.2905
2026-04-13,1.3211
2026-04-14,1.3501
2026-04-15,1.3321
2026-04-16,1.3605
2026-04-17,1.4286
2026-04-20,1.4231
2026-04-21,1.4446
2026-04-22,1.5014
2026-04-23,1.4683
2026-04-24,1.4423
2026-04-27,1.4784
2026-04-28,1.4465
2026-04-29,1.4638
2026-04-30,1.4812
2026-05-06,1.5004
2026-05-07,1.5363
2026-05-08,1.525
2026-05-11,1.5623
2026-05-12,1.6061
2026-05-13,1.6616
2026-05-14,1.5963
2026-05-15,1.5893
2026-05-18,1.6066
2026-05-19,1.6203
2026-05-20,1.6402
2026-05-21,1.6266
2026-05-22,1.7831
2026-05-25,1.8434
2026-05-26,1.8721
2026-05-27,1.9016
2026-05-28,1.9683
2026-05-29,1.9395
2026-06-01,1.8728
2026-06-02,1.9699
2026-06-03,2.025
2026-06-04,2.0694
2026-06-05,1.9828
2026-06-08,1.9797
2026-06-09,2.1418
2026-06-10,2.0937
2026-06-11,2.091
2026-06-12,2.1083
2026-06-15,2.3646
2026-06-16,2.4563
2026-06-17,2.5247
