date,close
2011-05-23,1.0
2011-05-27,1.0
2011-06-03,1.002
2011-06-10,0.999
2011-06-17,0.996
2011-06-24,1.007
2011-06-30,1.012
2011-07-01,1.013
2011-07-08,1.02
2011-07-14,1.024
2011-07-15,1.028
2011-07-18,1.029
2011-07-19,1.022
2011-07-20,1.021
2011-07-21,1.012
2011-07-22,1.014
2011-07-25,0.996
2011-07-26,0.997
2011-07-27,1.009
2011-07-28,1.01
2011-07-29,1.005
2011-08-01,1.005
2011-08-02,1.003
2011-08-03,1.01
2011-08-04,1.011
2011-08-05,1.005
2011-08-08,0.988
2011-08-09,0.987
2011-08-10,0.998
2011-08-11,1.013
2011-08-12,1.017
2011-08-15,1.023
2011-08-16,1.018
2011-08-17,1.016
2011-08-18,1.002
2011-08-19,1.001
2011-08-22,0.991
2011-08-23,1.002
2011-08-24,1.0
2011-08-25,1.014
2011-08-26,1.014
2011-08-29,1.013
2011-08-30,1.004
2011-08-31,1.0
2011-09-01,0.994
2011-09-02,0.985
2011-09-05,0.973
2011-09-06,0.969
2011-09-07,0.987
2011-09-08,0.982
2011-09-09,0.978
2011-09-13,0.966
2011-09-14,0.968
2011-09-15,0.969
2011-09-16,0.97
2011-09-19,0.96
2011-09-20,0.961
2011-09-21,0.975
2011-09-22,0.959
2011-09-23,0.952
2011-09-26,0.94
2011-09-27,0.938
2011-09-28,0.929
2011-09-29,0.921
2011-09-30,0.923
2011-10-10,0.919
2011-10-11,0.909
2011-10-12,0.925
2011-10-13,0.932
2011-10-14,0.931
2011-10-17,0.938
2011-10-18,0.923
2011-10-19,0.921
2011-10-20,0.905
2011-10-21,0.897
2011-10-24,0.909
2011-10-25,0.925
2011-10-26,0.929
2011-10-27,0.927
2011-10-28,0.938
2011-10-31,0.944
2011-11-01,0.948
2011-11-02,0.964
2011-11-03,0.963
2011-11-04,0.964
2011-11-07,0.956
2011-11-08,0.948
2011-11-09,0.958
2011-11-10,0.952
2011-11-11,0.951
2011-11-14,0.969
2011-11-15,0.97
2011-11-16,0.947
2011-11-17,0.948
2011-11-18,0.937
2011-11-21,0.938
2011-11-22,0.942
2011-11-23,0.942
2011-11-24,0.947
2011-11-25,0.943
2011-11-28,0.949
2011-11-29,0.957
2011-11-30,0.937
2011-12-01,0.951
2011-12-02,0.94
2011-12-05,0.918
2011-12-06,0.912
2011-12-07,0.913
2011-12-08,0.911
2011-12-09,0.904
2011-12-12,0.9
2011-12-13,0.884
2011-12-14,0.877
2011-12-15,0.869
2011-12-16,0.887
2011-12-19,0.893
2011-12-20,0.888
2011-12-21,0.877
2011-12-22,0.876
2011-12-23,0.878
2011-12-26,0.869
2011-12-27,0.85
2011-12-28,0.845
2011-12-29,0.846
2011-12-30,0.856
2011-12-31,0.856
2012-01-04,0.843
2012-01-05,0.823
2012-01-06,0.821
2012-01-09,0.84
2012-01-10,0.859
2012-01-11,0.858
2012-01-12,0.852
2012-01-13,0.832
2012-01-16,0.809
2012-01-17,0.831
2012-01-18,0.805
2012-01-19,0.816
2012-01-20,0.835
2012-01-30,0.826
2012-01-31,0.823
2012-02-01,0.821
2012-02-02,0.833
2012-02-03,0.841
2012-02-06,0.847
2012-02-07,0.838
2012-02-08,0.852
2012-02-09,0.855
2012-02-10,0.853
2012-02-13,0.856
2012-02-14,0.856
2012-02-15,0.861
2012-02-16,0.86
2012-02-17,0.857
2012-02-20,0.856
2012-02-21,0.867
2012-02-22,0.881
2012-02-23,0.882
2012-02-24,0.893
2012-02-27,0.895
2012-02-28,0.891
2012-02-29,0.884
2012-03-01,0.885
2012-03-02,0.895
2012-03-05,0.89
2012-03-06,0.885
2012-03-07,0.88
2012-03-08,0.887
2012-03-09,0.898
2012-03-12,0.903
2012-03-13,0.91
2012-03-14,0.884
2012-03-15,0.884
2012-03-16,0.901
2012-03-19,0.903
2012-03-20,0.885
2012-03-21,0.879
2012-03-22,0.877
2012-03-23,0.873
2012-03-26,0.876
2012-03-27,0.868
2012-03-28,0.848
2012-03-29,0.845
2012-03-30,0.846
2012-03-31,0.846
2012-04-05,0.864
2012-04-06,0.866
2012-04-09,0.861
2012-04-10,0.865
2012-04-11,0.867
2012-04-12,0.876
2012-04-13,0.876
2012-04-16,0.876
2012-04-17,0.865
2012-04-18,0.877
2012-04-19,0.873
2012-04-20,0.88
2012-04-23,0.872
2012-04-24,0.872
2012-04-25,0.875
2012-04-26,0.876
2012-04-27,0.882
2012-05-02,0.896
2012-05-03,0.901
2012-05-04,0.912
2012-05-07,0.916
2012-05-08,0.911
2012-05-09,0.902
2012-05-10,0.903
2012-05-11,0.897
2012-05-14,0.894
2012-05-15,0.895
2012-05-16,0.883
2012-05-17,0.892
2012-05-18,0.885
2012-05-21,0.887
2012-05-22,0.898
2012-05-23,0.902
2012-05-24,0.892
2012-05-25,0.881
2012-05-28,0.892
2012-05-29,0.903
2012-05-30,0.904
2012-05-31,0.906
2012-06-01,0.903
2012-06-04,0.89
2012-06-05,0.896
2012-06-06,0.895
2012-06-07,0.893
2012-06-08,0.892
2012-06-11,0.909
2012-06-12,0.91
2012-06-13,0.925
2012-06-14,0.923
2012-06-15,0.92
2012-06-18,0.928
2012-06-19,0.923
2012-06-20,0.917
2012-06-21,0.91
2012-06-25,0.897
2012-06-26,0.9
2012-06-27,0.905
2012-06-28,0.903
2012-06-29,0.914
